imsi,app,throughput,latency,packet_loss,sinr,rsrp,cell_load,prb_utilization,mobility,shannon_capacity,spectral_efficiency,rsrp_sinr_gap,lqi,congestion_index,congestion_index_sq,goodput,ho_risk,r_factor_proxy,mos_from_r,tput_lat_ratio,sinr_x_tput,loss_x_latency,load_x_mobility,sinr_per_prb,goodput_lat_ratio,free_prb_ratio,lqi_x_free_prb,log_throughput,log_latency,log_packet_loss,log_mobility,sqrt_throughput,sqrt_cell_load,cell_load_sq,latency_sq,packet_loss_sq,sinr_exp,sinr_tier,latency_tier,tput_tier,load_tier,mobility_tier,loss_tier,composite_quality,kpi_mean,kpi_std,kpi_min,kpi_max,kpi_range,avg_impairment,avg_benefit,health_score,n_kpi_poor,video_stall_risk,video_loss_flag,volte_lat_cliff,volte_loss_cliff,game_lat_cliff,game_loss_cliff,poor_signal_flag,saturated_cell_flag,high_mobility_flag,qoe_score,qoe_category
310150634895718,gaming,4.28,42.24,2.66,4.14,-111.93,56.74,51.02,55.69,1.8456624061718931,2.3189506302385987,-4.987142857142871,0.22403393043426417,0.5388000000000001,0.2903054400000001,4.166152,0.3891802833333334,75.11350912949968,3.826735831323153,0.09898242368177614,17.7192,112.35840000000002,3159.8505999999998,0.07958477508650517,0.09634949121184089,0.4898,0.1097318191267026,1.6639260977181702,3.7667659927710075,1.297463147413275,4.037597828336212,2.06881608655772,7.532595834106593,3219.4276000000004,1784.2176000000002,7.0756000000000006,0.3389990487340875,1,2,1,2,2,0,8,0.34865398493030414,0.19103792553580212,0.09552691432903715,0.6045454545454545,0.5090185402164173,0.5471616864801672,0.17501343728108967,0.3610875618806284,1,0,0,0,0,0,1,0,0,0,2.77,Fair
310150299900595,volte,12.44,13.31,0.85,11.15,-104.65,20.67,22.53,24.29,3.810614590763336,3.264565256783956,-7.721428571428575,0.40496062710500424,0.21600000000000003,0.04665600000000001,12.33426,0.14027475,82.28047622815912,4.107206662738211,0.8693221523410202,138.706,11.3135,502.07430000000005,0.4738631534211645,0.8619329140461216,0.7746999999999999,0.31372299781824675,2.5982353350950036,2.6609585935683597,0.6151856390902334,3.2304090606818736,3.5270384177096794,4.546427168667722,427.24890000000005,177.1561,0.7224999999999999,0.6720847211004115,2,3,2,3,1,2,13,0.22371929329410117,0.13264661323256463,0.04261538461538462,0.4614285714285714,0.4188131868131868,0.8587353361913955,0.3611436757699289,0.6099395059806623,0,0,0,0,1,0,0,0,0,0,4.45,Excellent
310150962061404,volte,21.95,24.7,0.92,17.81,-100.75,26.28,21.41,34.17,5.940046041615663,3.695257552924575,-13.335714285714289,0.5516795207296354,0.23845,0.056858402499999995,21.74806,0.17512125,81.72902992887583,4.087647003310997,0.8540856031128404,390.92949999999996,22.724,897.9876,0.7947344935296742,0.8462280155642024,0.7859,0.43356493534142054,3.133317936506554,3.246490991901174,0.6523251860396903,3.5601934464858913,4.685082710048992,5.126402247190518,690.6384,610.0899999999999,0.8464,0.8315304065876987,3,3,3,3,2,2,16,0.3136947810245405,0.20050975296870294,0.10102564102564102,0.6517142857142857,0.5506886446886446,0.8171721484164441,0.5318063300928485,0.6744892392546463,0,0,0,0,1,0,0,0,0,0,4.28,Excellent
310150887846414,gaming,29.62,19.71,0.35,23.62,-91.83,27.7,33.77,44.01,7.852649237923899,3.771975431801027,-12.715714285714284,0.7257214151590117,0.30735,0.09446402250000001,29.516330000000004,0.16012305,84.19191140276803,4.172098237720927,1.4302269435055528,699.6244,6.8985,1219.077,0.6793212539545584,1.4252211492032836,0.6622999999999999,0.48064529325981337,3.4216533902295376,3.030616675407493,0.3001045924503381,3.806884687304841,5.442425929675111,5.263078946776307,767.29,388.4841,0.12249999999999998,0.9057684285354746,3,3,3,3,2,2,16,0.3928861057609919,0.28975899962912793,0.07543589743589744,0.8177142857142857,0.7422783882783883,0.7996537185344883,0.7137858129201254,0.7567197657273068,0,0,0,0,0,0,0,0,0,0,4.45,Excellent
310150227521863,video,1.86,29.96,2.18,3.84,-102.57,67.04,61.45,18.72,1.7744303535663024,1.04822372783565,4.801428571428573,0.29700498941909337,0.6424500000000001,0.4127420025000001,1.819452,0.10161839999999998,76.99333733949788,3.905476002076289,0.060077519379844964,7.1424,65.31280000000001,1254.9888,0.06148919135308246,0.05876782945736434,0.38549999999999995,0.11449542342106048,1.0508216248317612,3.4326960487215263,1.1568811967920856,2.9816333491744893,1.3638181696985856,8.187795796183488,4494.361600000001,897.6016000000001,4.752400000000001,0.3188685728204529,1,3,1,1,1,1,8,0.33289282548417165,0.22510974699352682,0.034369471822087445,0.6337777777777779,0.5994083059556904,0.5974907254421467,0.21686541036136883,0.40717806790175776,2,1,1,0,0,0,0,0,0,0,2.32,Fair
310150523734972,video,0.5,26.82,2.93,-4.31,-96.36,67.8,67.12,19.21,0.4548925574454053,1.099160651930447,22.65428571428572,0.20911628267413787,0.6746000000000001,0.4550851600000001,0.48535,0.08439593333333333,74.6274450678972,3.805838916537371,0.017972681524083392,-2.155,78.5826,1302.438,-0.06327069876688196,0.01744608195542775,0.3288,0.06875743374325653,0.4054651081081644,3.325755186495297,1.3686394258811698,3.00617753141553,0.7071067811865476,8.23407554009556,4596.839999999999,719.3124,8.584900000000001,-0.5387955499568651,0,3,0,1,1,0,5,0.3447649582036729,0.2989487424237928,0.0,0.6659090909090909,0.6659090909090909,0.5509627796397638,0.1709778546094006,0.3609703171245822,3,1,1,0,0,0,0,1,0,0,1.0,Poor
310150515968276,gaming,4.56,88.49,2.36,7.6,-102.97,83.9,69.93,73.26,2.755827485378602,1.6546754193408941,-0.9699999999999989,0.35812393073231796,0.7691500000000001,0.5915917225000001,4.4523839999999995,0.4025637,74.9843447652975,3.8212036703246883,0.05095541401273885,34.656,208.83639999999997,6146.514000000001,0.10714789228817143,0.049752866242038216,0.30069999999999997,0.107687865971208,1.715598108262491,4.494126887194767,1.2119409739751128,4.307572448748934,2.1354156504062622,9.15969431804359,7039.210000000001,7830.480099999999,5.569599999999999,0.5323335729900908,2,1,1,1,2,1,8,0.49018983882022765,0.22687596881790512,0.10260298205711396,0.8211111111111111,0.7185081290539972,0.3792788196652174,0.2726376029626363,0.3259582113139269,2,0,0,0,0,0,1,0,0,0,1.95,Poor
310150770094950,volte,13.32,44.16,1.44,15.22,-83.8,76.07,64.85,48.06,5.098704004556225,2.612428567749214,7.314285714285717,0.6487358111531698,0.7045999999999999,0.49646115999999985,13.128192,0.11053799999999997,79.27315649368074,3.996232154578347,0.29495128432240925,202.7304,63.590399999999995,3655.9242,0.2311313591495824,0.29070398582816653,0.35150000000000003,0.2280306376203392,2.6616571615324998,3.810211739281461,0.8919980393051105,3.893044038830343,3.6496575181789317,8.721811738394724,5786.644899999999,1950.1055999999996,2.0736,0.7817250996893859,3,2,2,1,2,1,11,0.4954642218272024,0.20795024484599967,0.2008205128205128,0.7552680993114959,0.554447586490983,0.5386502851344502,0.5523217334299568,0.5454860092822036,0,0,0,0,1,0,0,0,0,0,3.9,Good
310150941095289,gaming,13.51,23.62,1.08,10.85,-88.31,46.3,41.97,37.56,3.7182914770064475,3.633389174448675,9.047142857142859,0.5361833030312062,0.44134999999999996,0.19478982249999996,13.364092,0.11462060000000003,81.12884024710843,4.065946495158495,0.5487408610885459,146.5835,25.509600000000002,1739.028,0.2525017454037701,0.5428144597887895,0.5803,0.311147170749009,2.6748380668960965,3.2035591207563074,0.7323678937132266,3.652215469742345,3.675595189897821,6.8044103344816,2143.6899999999996,557.9044,1.1664,0.6620982141052869,2,3,2,2,2,1,12,0.35965244847372796,0.16343804556293295,0.0954871794871795,0.6611725432923011,0.5656853638051216,0.7131189062021237,0.4809380396001474,0.5970284729011356,0,0,0,0,0,0,0,0,0,0,4.33,Excellent
310150769991378,gaming,34.93,7.89,1.02,29.08,-90.86,37.78,30.95,42.35,9.661948894166581,3.615212663884928,-19.545714285714283,0.8274165539030132,0.34365,0.1180953225,34.573714,0.14723683333333334,81.73962276139235,4.088026167275017,3.929133858267716,1015.7643999999999,8.0478,1599.9830000000002,0.9101721439749608,3.889056692913386,0.6905,0.5713311304700306,3.581572601125427,2.1849270495258133,0.7030975114131134,3.769306703226551,5.910160742314882,6.146543744251724,1427.3284,62.25209999999999,1.0404,0.9454152096469414,3,3,3,2,2,1,14,0.4512973692661876,0.3345883257491924,0.014820512820512818,0.9737142857142856,0.9588937728937729,0.7682817803239532,0.8172626185830886,0.7927721994535208,0,0,0,0,0,0,0,0,0,0,4.49,Excellent
